name,name_new,include,label
r2iwindm,,,r2iwindm:w2 individual interview month
r3iwindm,,,r3iwindm:w3 individual interview month
r4iwindm,,,r4iwindm:w4 individual interview month
r5iwindm,,,r5iwindm:w5 individual interview month
r6iwindm,,,r6iwindm:w6 individual interview month
s1iwindm,,,s1iwindm:w1 individual interview month
s2iwindm,,,s2iwindm:w2 individual interview month
s3iwindm,,,s3iwindm:w3 individual interview month
s4iwindm,,,s4iwindm:w4 individual interview month
s5iwindm,,,s5iwindm:w5 individual interview month
s6iwindm,,,s6iwindm:w6 individual interview month
r1iwindy,,,r1iwindy:w1 individual interview year
r2iwindy,,,r2iwindy:w2 individual interview year
r3iwindy,,,r3iwindy:w3 individual interview year
r4iwindy,,,r4iwindy:w4 individual interview year
r5iwindy,,,r5iwindy:w5 individual interview year
r6iwindy,,,r6iwindy:w6 individual interview year
s1iwindy,,,s1iwindy:w1 individual interview year
s2iwindy,,,s2iwindy:w2 individual interview year
s3iwindy,,,s3iwindy:w3 individual interview year
s4iwindy,,,s4iwindy:w4 individual interview year
s5iwindy,,,s5iwindy:w5 individual interview year
s6iwindy,,,s6iwindy:w6 individual interview year
rabyear,birth_year,,rabyear: r birth year
s1byear,,,s1byear: s birth year
s2byear,,,s2byear: s birth year
s3byear,,,s3byear: s birth year
s4byear,,,s4byear: s birth year
s5byear,,,s5byear: s birth year
s6byear,,,s6byear: s birth year
rafbyear,,,rafbyear: flag birth year bottom-coded
s1fbyear,,,s1fbyear: flag birth year bottom-coded
s2fbyear,,,s2fbyear: flag birth year bottom-coded
s3fbyear,,,s3fbyear: flag birth year bottom-coded
s4fbyear,,,s4fbyear: flag birth year bottom-coded
s5fbyear,,,s5fbyear: flag birth year bottom-coded
s6fbyear,,,s6fbyear: flag birth year bottom-coded
radyear,death_year,,radyear: r death year
s1dyear,,,s1dyear:w1 s death year
s2dyear,,,s2dyear:w2 s death year
s3dyear,,,s3dyear:w3 s death year
s4dyear,,,s4dyear:w4 s death year
s5dyear,,,s5dyear:w5 s death year
s6dyear,,,s6dyear:w6 s death year
r1agey,age_at_visit_1,,r1agey:w1 r age (years) at ivw
r2agey,age_at_visit_2,,r2agey:w2 r age (years) at ivw
r3agey,age_at_visit_3,,r3agey:w3 r age (years) at ivw
r4agey,age_at_visit_4,,r4agey:w4 r age (years) at ivw
r5agey,age_at_visit_5,,r5agey:w5 r age (years) at ivw
r6agey,age_at_visit_6,,r6agey:w6 r age (years) at ivw
s1agey,,,s1agey:w1 s age (years) at ivw
s2agey,,,s2agey:w2 s age (years) at ivw
s3agey,,,s3agey:w3 s age (years) at ivw
s4agey,,,s4agey:w4 s age (years) at ivw
s5agey,,,s5agey:w5 s age (years) at ivw
s6agey,,,s6agey:w6 s age (years) at ivw
r1fagey,,,r1fagey:w1 flag age at iwv top-coded
r2fagey,,,r2fagey:w2 flag age at iwv top-coded
r3fagey,,,r3fagey:w3 flag age at iwv top-coded
r4fagey,,,r4fagey:w4 flag age at iwv top-coded
r5fagey,,,r5fagey:w5 flag age at iwv top-coded
r6fagey,,,r6fagey:w6 flag age at iwv top-coded
s1fagey,,,s1fagey:w1 flag age at iwv top-coded
s2fagey,,,s2fagey:w2 flag age at iwv top-coded
s3fagey,,,s3fagey:w3 flag age at iwv top-coded
s4fagey,,,s4fagey:w4 flag age at iwv top-coded
s5fagey,,,s5fagey:w5 flag age at iwv top-coded
s6fagey,,,s6fagey:w6 flag age at iwv top-coded
ragender,gender,,ragender: r gender
s1gender,,,s1gender: s gender
s2gender,,,s2gender: s gender
s3gender,,,s3gender: s gender
s4gender,,,s4gender: s gender
s5gender,,,s5gender: s gender
s6gender,,,s6gender: s gender
ragendrf,,,ragendrf: flag if problem with r gender
s1gendrf,,,s1gendrf: flag if problem with s gender
s2gendrf,,,s2gendrf: flag if problem with s gender
s3gendrf,,,s3gendrf: flag if problem with s gender
s4gendrf,,,s4gendrf: flag if problem with s gender
s5gendrf,,,s5gendrf: flag if problem with s gender
s6gendrf,,,s6gendrf: flag if problem with s gender
raracem,race,,raracem: r race - masked
s1racem,,,s1racem: s race - masked
s2racem,,,s2racem: s race - masked
s3racem,,,s3racem: s race - masked
s4racem,,,s4racem: s race - masked
s5racem,,,s5racem: s race - masked
s6racem,,,s6racem: s race - masked
raracef,,,raracef: flag if problem with r race
s1racef,,,s1racef: flag if problem with s race
s2racef,,,s2racef: flag if problem with s race
s3racef,,,s3racef: flag if problem with s race
s4racef,,,s4racef: flag if problem with s race
s5racef,,,s5racef: flag if problem with s race
s6racef,,,s6racef: flag if problem with s race
raedyrs.e,educ_years,,raedyrs_e: r years of education
s1edyrs.e,,,s1edyrs_e: s years of education
s2edyrs.e,,,s2edyrs_e: s years of education
s3edyrs.e,,,s3edyrs_e: s years of education
s4edyrs.e,,,s4edyrs_e: s years of education
s5edyrs.e,,,s5edyrs_e: s years of education
s6edyrs.e,,,s6edyrs_e: s years of education
raeduc.e,educ_category,,raeduc_e: r education (categ)
s1educ.e,,,s1educ_e: s education (categ)
s2educ.e,,,s2educ_e: s education (categ)
s3educ.e,,,s3educ_e: s education (categ)
s4educ.e,,,s4educ_e: s education (categ)
s5educ.e,,,s5educ_e: s education (categ)
s6educ.e,,,s6educ_e: s education (categ)
raedisced,,,raedisced:R education ISCED
s1edisced,,,s1edisced:w1 S education ISCED
s2edisced,,,s2edisced:w2 S education ISCED
s3edisced,,,s3edisced:w3 s education isced
s4edisced,,,s4edisced:w4 s education isced
s5edisced,,,s5edisced:w5 s education isced
s6edisced,,,s6edisced:w6 s education isced
r1mstat,,,"r1mstat:w1 r marital status w/partners, filled"
r2mstat,,,"r2mstat:w2 r marital status w/partners, filled"
r3mstat,,,"r3mstat:w3 r marital status w/partners, filled"
r4mstat,,,"r4mstat:w4 r marital status w/partners, filled"
r5mstat,,,"r5mstat:w5 r marital status w/partners, filled"
r6mstat,,,"r6mstat:w6 r marital status w/partners, filled"
s1mstat,,,"s1mstat:w1 s marital status w/partners, filled"
s2mstat,,,"s2mstat:w2 s marital status w/partners, filled"
s3mstat,,,"s3mstat:w3 s marital status w/partners, filled"
s4mstat,,,"s4mstat:w4 s marital status w/partners, filled"
s5mstat,,,"s5mstat:w5 s marital status w/partners, filled"
s6mstat,,,"s6mstat:w6 s marital status w/partners, filled"
r1mpart,,,r1mpart:w1 r implied partnership status
r2mpart,,,r2mpart:w2 r implied partnership status
r3mpart,,,r3mpart:w3 r implied partnership status
r4mpart,,,r4mpart:w4 r implied partnership status
r5mpart,,,r5mpart:w5 r implied partnership status
r6mpart,,,r6mpart:w6 r implied partnership status
s1mpart,,,s1mpart:w1 s implied partnership status
s2mpart,,,s2mpart:w2 s implied partnership status
s3mpart,,,s3mpart:w3 s implied partnership status
s4mpart,,,s4mpart:w4 s implied partnership status
s5mpart,,,s5mpart:w5 s implied partnership status
s6mpart,,,s6mpart:w6 s implied partnership status
r1mstath,,,r1mstath:w1 r marital status
r2mstath,,,r2mstath:w2 r marital status
r3mstath,,,r3mstath:w3 r marital status
r4mstath,,,r4mstath:w4 r marital status
r5mstath,,,r5mstath:w5 r marital status
r6mstath,,,r6mstath:w6 r marital status
s1mstath,,,s1mstath:w1 s marital status
s2mstath,,,s2mstath:w2 s marital status
s3mstath,,,s3mstath:w3 s marital status
s4mstath,,,s4mstath:w4 s marital status
s5mstath,,,s5mstath:w5 s marital status
s6mstath,,,s6mstath:w6 s marital status
r1mstatf,,,r1mstatf:w1 r mstath-flag diff w/marhist
r2mstatf,,,r2mstatf:w2 r mstath-flag diff w/marhist
r3mstatf,,,r3mstatf:w3 r mstath-flag diff w/marhist
r4mstatf,,,r4mstatf:w4 r mstath-flag diff w/marhist
r5mstatf,,,r5mstatf:w5 r mstath-flag diff w/marhist
r6mstatf,,,r6mstatf:w6 r mstath-flag diff w/marhist
